Processing generation 0; best fitness = 0.266784158422
Processing generation 1000; best fitness = 0.734889813468
Processing generation 2000; best fitness = 0.801459552112
Processing generation 3000; best fitness = 0.853682867158
Processing generation 4000; best fitness = 0.909243198447
Processing generation 5000; best fitness = 0.956858716251
Processing generation 6000; best fitness = 0.975706745063
Processing generation 7000; best fitness = 0.997089776909
Processing generation 8000; best fitness = 1.00118188056
Processing generation 9000; best fitness = 1.00659689598
Processing generation 10000; best fitness = 1.00801681262
Processing generation 11000; best fitness = 1.01158019696
Processing generation 12000; best fitness = 1.01228179127
Processing generation 13000; best fitness = 1.01242249237
Processing generation 14000; best fitness = 1.01724715948
Processing generation 15000; best fitness = 1.01900596802
Processing generation 16000; best fitness = 1.01950222087
Processing generation 17000; best fitness = 1.02050503656
Processing generation 18000; best fitness = 1.02158164691
Processing generation 19000; best fitness = 1.02961674656
Processing generation 20000; best fitness = 1.03146404534
Processing generation 21000; best fitness = 1.03276728484
Processing generation 22000; best fitness = 1.03277831411
Processing generation 23000; best fitness = 1.03517687876
Processing generation 24000; best fitness = 1.03641875083
Processing generation 25000; best fitness = 1.05097904606
Processing generation 26000; best fitness = 1.05343349539
Processing generation 27000; best fitness = 1.05515184746
Processing generation 28000; best fitness = 1.05568680685
Processing generation 29000; best fitness = 1.055868933
Processing generation 30000; best fitness = 1.05618352002
Processing generation 31000; best fitness = 1.05660704488
Processing generation 32000; best fitness = 1.05690055634
Processing generation 33000; best fitness = 1.0631163878
Processing generation 34000; best fitness = 1.06353099816
Processing generation 35000; best fitness = 1.06357478556
Processing generation 36000; best fitness = 1.06547445111
Processing generation 37000; best fitness = 1.06907674106
Processing generation 38000; best fitness = 1.06965890413
Processing generation 39000; best fitness = 1.06966661339
Processing generation 40000; best fitness = 1.06966661339
Processing generation 41000; best fitness = 1.06966661339
Processing generation 42000; best fitness = 1.07065292315
Processing generation 43000; best fitness = 1.07067915327
Processing generation 44000; best fitness = 1.07168166971
Processing generation 45000; best fitness = 1.07740778889
Processing generation 46000; best fitness = 1.07829946705
Processing generation 47000; best fitness = 1.07832362756
Processing generation 48000; best fitness = 1.07849769585
Processing generation 49000; best fitness = 1.07849769585
Processing generation 50000; best fitness = 1.07849769585
Processing generation 51000; best fitness = 1.08149236684
Processing generation 52000; best fitness = 1.08189382978
Processing generation 53000; best fitness = 1.08235601892
Processing generation 54000; best fitness = 1.08352152328
Processing generation 55000; best fitness = 1.08422335891
Processing generation 56000; best fitness = 1.08422335891
Processing generation 57000; best fitness = 1.08426687743
Processing generation 58000; best fitness = 1.08442156933
Processing generation 59000; best fitness = 1.08448163799
Processing generation 60000; best fitness = 1.08448163799
Processing generation 61000; best fitness = 1.08559761682
Processing generation 62000; best fitness = 1.0874865201
Processing generation 63000; best fitness = 1.08768722257
Processing generation 64000; best fitness = 1.0878338504
Processing generation 65000; best fitness = 1.0878338504
Processing generation 66000; best fitness = 1.08784067362
Processing generation 67000; best fitness = 1.08802781485
