Processing generation 0; best fitness = 0.270241048306
Processing generation 1000; best fitness = 0.69655370604
Processing generation 2000; best fitness = 0.75192843461
Processing generation 3000; best fitness = 0.78556659645
Processing generation 4000; best fitness = 0.80732884609
Processing generation 5000; best fitness = 0.826557235549
Processing generation 6000; best fitness = 0.847793856985
Processing generation 7000; best fitness = 0.869284042422
Processing generation 8000; best fitness = 0.907230771616
Processing generation 9000; best fitness = 0.921960652324
Processing generation 10000; best fitness = 0.937828715064
Processing generation 11000; best fitness = 0.946548980559
Processing generation 12000; best fitness = 0.955685259522
Processing generation 13000; best fitness = 0.965404269289
Processing generation 14000; best fitness = 0.97699095486
Processing generation 15000; best fitness = 0.982260322543
Processing generation 16000; best fitness = 0.993111442436
Processing generation 17000; best fitness = 1.00659685539
Processing generation 18000; best fitness = 1.01384584691
Processing generation 19000; best fitness = 1.02685285894
Processing generation 20000; best fitness = 1.03664188366
Processing generation 21000; best fitness = 1.04377146743
Processing generation 22000; best fitness = 1.04745496982
Processing generation 23000; best fitness = 1.05176167644
Processing generation 24000; best fitness = 1.05763030444
Processing generation 25000; best fitness = 1.06472747716
Processing generation 26000; best fitness = 1.06914311105
Processing generation 27000; best fitness = 1.07176366736
Processing generation 28000; best fitness = 1.07556158587
Processing generation 29000; best fitness = 1.07955536783
Processing generation 30000; best fitness = 1.08304805029
Processing generation 31000; best fitness = 1.08691659723
Processing generation 32000; best fitness = 1.08992494574
Processing generation 33000; best fitness = 1.09226650589
Processing generation 34000; best fitness = 1.09415427084
Processing generation 35000; best fitness = 1.09784823667
Processing generation 36000; best fitness = 1.10008187364
Processing generation 37000; best fitness = 1.10209128887
Processing generation 38000; best fitness = 1.10507665492
Processing generation 39000; best fitness = 1.10658724137
Processing generation 40000; best fitness = 1.10860865434
Processing generation 41000; best fitness = 1.11083080095
Processing generation 42000; best fitness = 1.11199908669
Processing generation 43000; best fitness = 1.11515379787
Processing generation 44000; best fitness = 1.11693732323
Processing generation 45000; best fitness = 1.11805115667
Processing generation 46000; best fitness = 1.11968202505
Processing generation 47000; best fitness = 1.12134872307
Processing generation 48000; best fitness = 1.12335051864
Processing generation 49000; best fitness = 1.12670264113
Processing generation 50000; best fitness = 1.13059539901
Processing generation 51000; best fitness = 1.13119851671
Processing generation 52000; best fitness = 1.13285807628
Processing generation 53000; best fitness = 1.13491565482
Processing generation 54000; best fitness = 1.13598054382
Processing generation 55000; best fitness = 1.13777657708
Processing generation 56000; best fitness = 1.13920219338
Processing generation 57000; best fitness = 1.14091835201
Processing generation 58000; best fitness = 1.14227253516
Processing generation 59000; best fitness = 1.14311786894
Processing generation 60000; best fitness = 1.14710246439
Processing generation 61000; best fitness = 1.15008043748
Processing generation 62000; best fitness = 1.1522962989
Processing generation 63000; best fitness = 1.15399426966
Processing generation 64000; best fitness = 1.15573424615
Processing generation 65000; best fitness = 1.15694327852
Processing generation 66000; best fitness = 1.16131847747
Processing generation 67000; best fitness = 1.16189086891
Processing generation 68000; best fitness = 1.16644090756
Processing generation 69000; best fitness = 1.16806723055
Processing generation 70000; best fitness = 1.16925325962
Processing generation 71000; best fitness = 1.16988891391
Processing generation 72000; best fitness = 1.17167923828
Processing generation 73000; best fitness = 1.17377878532
Processing generation 74000; best fitness = 1.17419472468
Processing generation 75000; best fitness = 1.17806273913
Processing generation 76000; best fitness = 1.17961611955
Processing generation 77000; best fitness = 1.18250191275
Processing generation 78000; best fitness = 1.18361158751
Processing generation 79000; best fitness = 1.18464454518
Processing generation 80000; best fitness = 1.18589572869
Processing generation 81000; best fitness = 1.18703774629
Processing generation 82000; best fitness = 1.18715323452
Processing generation 83000; best fitness = 1.18739650719
Processing generation 84000; best fitness = 1.18767336351
Processing generation 85000; best fitness = 1.18821261282
Processing generation 86000; best fitness = 1.18874259655
Processing generation 87000; best fitness = 1.18954160605
Processing generation 88000; best fitness = 1.18998324618
Processing generation 89000; best fitness = 1.19140440433
Processing generation 90000; best fitness = 1.19391049723
Processing generation 91000; best fitness = 1.19607804465
Processing generation 92000; best fitness = 1.19707154808
Processing generation 93000; best fitness = 1.19772895746
Processing generation 94000; best fitness = 1.19804398691
Processing generation 95000; best fitness = 1.19882558657
Processing generation 96000; best fitness = 1.19918554927
Processing generation 97000; best fitness = 1.20087319214
Processing generation 98000; best fitness = 1.20413966274
Processing generation 99000; best fitness = 1.2046022119
Processing generation 100000; best fitness = 1.20494006319
Processing generation 101000; best fitness = 1.20514579081
Processing generation 102000; best fitness = 1.20552551465
Processing generation 103000; best fitness = 1.2058197763
Processing generation 104000; best fitness = 1.20633329503
Processing generation 105000; best fitness = 1.20809868372
Processing generation 106000; best fitness = 1.20880114441
Processing generation 107000; best fitness = 1.21008786066
Processing generation 108000; best fitness = 1.21073338223
Processing generation 109000; best fitness = 1.21192082193
Processing generation 110000; best fitness = 1.21245309745
Processing generation 111000; best fitness = 1.21320230742
Processing generation 112000; best fitness = 1.21358410905
Processing generation 113000; best fitness = 1.21397557558
Processing generation 114000; best fitness = 1.21433595119
Processing generation 115000; best fitness = 1.21519720906
Processing generation 116000; best fitness = 1.21559217046
Processing generation 117000; best fitness = 1.21580431448
Processing generation 118000; best fitness = 1.21671980837
Processing generation 119000; best fitness = 1.21701731342
Processing generation 120000; best fitness = 1.21918111793
Processing generation 121000; best fitness = 1.21977457777
Processing generation 122000; best fitness = 1.21992441992
Processing generation 123000; best fitness = 1.22106057969
Processing generation 124000; best fitness = 1.22121550634
Processing generation 125000; best fitness = 1.22124373718
Processing generation 126000; best fitness = 1.22160937415
Processing generation 127000; best fitness = 1.22186144966
Processing generation 128000; best fitness = 1.22276047176
Processing generation 129000; best fitness = 1.22283684303
Processing generation 130000; best fitness = 1.22290741386
Processing generation 131000; best fitness = 1.22293071166
Processing generation 132000; best fitness = 1.22336983187
Processing generation 133000; best fitness = 1.22471356264
Processing generation 134000; best fitness = 1.22551858924
Processing generation 135000; best fitness = 1.22588393856
Processing generation 136000; best fitness = 1.22673336167
Processing generation 137000; best fitness = 1.22696735314
Processing generation 138000; best fitness = 1.22982021539
Processing generation 139000; best fitness = 1.23024264776
Processing generation 140000; best fitness = 1.23103708166
Processing generation 141000; best fitness = 1.23154607328
Processing generation 142000; best fitness = 1.23164375074
Processing generation 143000; best fitness = 1.23268036173
Processing generation 144000; best fitness = 1.23285322162
Processing generation 145000; best fitness = 1.23301457232
Processing generation 146000; best fitness = 1.23437253097
Processing generation 147000; best fitness = 1.23460935115
Processing generation 148000; best fitness = 1.23464850066
Processing generation 149000; best fitness = 1.2349181475
Processing generation 150000; best fitness = 1.23508907931
Processing generation 151000; best fitness = 1.23523357994
Processing generation 152000; best fitness = 1.23532211479
Processing generation 153000; best fitness = 1.23571745034
Processing generation 154000; best fitness = 1.2357599065
Processing generation 155000; best fitness = 1.23577589527
Processing generation 156000; best fitness = 1.23606546536
Processing generation 157000; best fitness = 1.2368389339
Processing generation 158000; best fitness = 1.23790365697
Processing generation 159000; best fitness = 1.2383361041
Processing generation 160000; best fitness = 1.23852170549
Processing generation 161000; best fitness = 1.23882271129
Processing generation 162000; best fitness = 1.23894325003
Processing generation 163000; best fitness = 1.23911632908
Processing generation 164000; best fitness = 1.23937959767
Processing generation 165000; best fitness = 1.23947000518
Processing generation 166000; best fitness = 1.2396664397
Processing generation 167000; best fitness = 1.23997361199
Processing generation 168000; best fitness = 1.2400663153
Processing generation 169000; best fitness = 1.24084330091
Processing generation 170000; best fitness = 1.24095454167
Processing generation 171000; best fitness = 1.24118242903
Processing generation 172000; best fitness = 1.24119941663
Processing generation 173000; best fitness = 1.24175273835
Processing generation 174000; best fitness = 1.24181423666
Processing generation 175000; best fitness = 1.24186812742
Processing generation 176000; best fitness = 1.24239319106
Processing generation 177000; best fitness = 1.2426436163
Processing generation 178000; best fitness = 1.24271543774
Processing generation 179000; best fitness = 1.24286796408
Processing generation 180000; best fitness = 1.2432626254
Processing generation 181000; best fitness = 1.24332715358
Processing generation 182000; best fitness = 1.24340000246
Processing generation 183000; best fitness = 1.24347150373
Processing generation 184000; best fitness = 1.24369125946
Processing generation 185000; best fitness = 1.24381851344
Processing generation 186000; best fitness = 1.24392562765
Processing generation 187000; best fitness = 1.24397307514
Processing generation 188000; best fitness = 1.2442543313
Processing generation 189000; best fitness = 1.24461811956
Processing generation 190000; best fitness = 1.24523806994
Processing generation 191000; best fitness = 1.24529989891
Processing generation 192000; best fitness = 1.24554741861
Processing generation 193000; best fitness = 1.24563421055
Processing generation 194000; best fitness = 1.24573702981
Processing generation 195000; best fitness = 1.24599251066
Processing generation 196000; best fitness = 1.24621897252
Processing generation 197000; best fitness = 1.24632606596
