Processing generation 0; best fitness = 0.264006398924
Processing generation 1000; best fitness = 0.45460649376
Processing generation 2000; best fitness = 0.499860109041
Processing generation 3000; best fitness = 0.52722811694
Processing generation 4000; best fitness = 0.536980942228
Processing generation 5000; best fitness = 0.549269840555
Processing generation 6000; best fitness = 0.555582654792
Processing generation 7000; best fitness = 0.561425431003
Processing generation 8000; best fitness = 0.566605746521
Processing generation 9000; best fitness = 0.570989449391
Processing generation 10000; best fitness = 0.575976427117
Processing generation 11000; best fitness = 0.582117983308
Processing generation 12000; best fitness = 0.586187526913
Processing generation 13000; best fitness = 0.588834103668
Processing generation 14000; best fitness = 0.591229222367
Processing generation 15000; best fitness = 0.593011528225
Processing generation 16000; best fitness = 0.594489095852
Processing generation 17000; best fitness = 0.595511560601
Processing generation 18000; best fitness = 0.59662666078
Processing generation 19000; best fitness = 0.598082919392
Processing generation 20000; best fitness = 0.598402737619
Processing generation 21000; best fitness = 0.603380611518
Processing generation 22000; best fitness = 0.604027104812
Processing generation 23000; best fitness = 0.605806400395
Processing generation 24000; best fitness = 0.60768565298
Processing generation 25000; best fitness = 0.60888875569
Processing generation 26000; best fitness = 0.610263147494
Processing generation 27000; best fitness = 0.611656150965
Processing generation 28000; best fitness = 0.611968009234
Processing generation 29000; best fitness = 0.612719226111
Processing generation 30000; best fitness = 0.616559850391
Processing generation 31000; best fitness = 0.617609449723
Processing generation 32000; best fitness = 0.617884606468
Processing generation 33000; best fitness = 0.61802887398
Processing generation 34000; best fitness = 0.618547864035
Processing generation 35000; best fitness = 0.618741241179
Processing generation 36000; best fitness = 0.61941844313
Processing generation 37000; best fitness = 0.620054457484
Processing generation 38000; best fitness = 0.620807139973
Processing generation 39000; best fitness = 0.621016365535
Processing generation 40000; best fitness = 0.621748307533
Processing generation 41000; best fitness = 0.623748225073
Processing generation 42000; best fitness = 0.624448958865
Processing generation 43000; best fitness = 0.6252000095
Processing generation 44000; best fitness = 0.625479755764
Processing generation 45000; best fitness = 0.626008530425
Processing generation 46000; best fitness = 0.626360483009
Processing generation 47000; best fitness = 0.6267409149
Processing generation 48000; best fitness = 0.627427910358
Processing generation 49000; best fitness = 0.627931454622
Processing generation 50000; best fitness = 0.62845595949
Processing generation 51000; best fitness = 0.628743445505
Processing generation 52000; best fitness = 0.629100418238
Processing generation 53000; best fitness = 0.629474168674
Processing generation 54000; best fitness = 0.629695173008
Processing generation 55000; best fitness = 0.63010246043
Processing generation 56000; best fitness = 0.630713624115
Processing generation 57000; best fitness = 0.630940496559
Processing generation 58000; best fitness = 0.630981020256
Processing generation 59000; best fitness = 0.631610479751
Processing generation 60000; best fitness = 0.632275073978
Processing generation 61000; best fitness = 0.632636382484
