Processing generation 0; best fitness = 0.245240673364
Processing generation 1000; best fitness = 0.606279265825
Processing generation 2000; best fitness = 0.661844528975
Processing generation 3000; best fitness = 0.712700501117
Processing generation 4000; best fitness = 0.764013094205
Processing generation 5000; best fitness = 0.787544714925
Processing generation 6000; best fitness = 0.810265482686
Processing generation 7000; best fitness = 0.844794502831
Processing generation 8000; best fitness = 0.860550767566
Processing generation 9000; best fitness = 0.874756809104
Processing generation 10000; best fitness = 0.884427479011
Processing generation 11000; best fitness = 0.897304277609
Processing generation 12000; best fitness = 0.908186722623
Processing generation 13000; best fitness = 0.920676480718
Processing generation 14000; best fitness = 0.930029031914
Processing generation 15000; best fitness = 0.937729336788
Processing generation 16000; best fitness = 0.942591741942
Processing generation 17000; best fitness = 0.949532647019
Processing generation 18000; best fitness = 0.955674019117
Processing generation 19000; best fitness = 0.9594315487
Processing generation 20000; best fitness = 0.963140791687
Processing generation 21000; best fitness = 0.968723694616
Processing generation 22000; best fitness = 0.982589296309
Processing generation 23000; best fitness = 0.986870657303
Processing generation 24000; best fitness = 0.992683216168
Processing generation 25000; best fitness = 1.00182761635
Processing generation 26000; best fitness = 1.00847886793
Processing generation 27000; best fitness = 1.01249007235
Processing generation 28000; best fitness = 1.01467305059
Processing generation 29000; best fitness = 1.02042459339
Processing generation 30000; best fitness = 1.02392583445
Processing generation 31000; best fitness = 1.0289914547
Processing generation 32000; best fitness = 1.03148913928
Processing generation 33000; best fitness = 1.03367754035
Processing generation 34000; best fitness = 1.04031902855
Processing generation 35000; best fitness = 1.04347705794
Processing generation 36000; best fitness = 1.04522297418
Processing generation 37000; best fitness = 1.047799652
Processing generation 38000; best fitness = 1.05038400611
Processing generation 39000; best fitness = 1.05416184692
Processing generation 40000; best fitness = 1.05513740562
Processing generation 41000; best fitness = 1.05668200468
Processing generation 42000; best fitness = 1.05870364713
Processing generation 43000; best fitness = 1.0605274188
Processing generation 44000; best fitness = 1.06121079555
Processing generation 45000; best fitness = 1.06413804651
Processing generation 46000; best fitness = 1.06556617926
Processing generation 47000; best fitness = 1.06713511154
Processing generation 48000; best fitness = 1.06777326725
Processing generation 49000; best fitness = 1.06843089375
Processing generation 50000; best fitness = 1.07041875487
Processing generation 51000; best fitness = 1.07160712714
Processing generation 52000; best fitness = 1.07229831119
Processing generation 53000; best fitness = 1.07303568799
Processing generation 54000; best fitness = 1.07329534487
Processing generation 55000; best fitness = 1.07418474291
Processing generation 56000; best fitness = 1.07536167716
Processing generation 57000; best fitness = 1.07705377911
Processing generation 58000; best fitness = 1.07842686894
Processing generation 59000; best fitness = 1.07923139749
Processing generation 60000; best fitness = 1.08128747656
Processing generation 61000; best fitness = 1.08259550415
Processing generation 62000; best fitness = 1.08334809789
Processing generation 63000; best fitness = 1.08390797717
Processing generation 64000; best fitness = 1.08597924736
Processing generation 65000; best fitness = 1.08665076769
Processing generation 66000; best fitness = 1.08721832646
Processing generation 67000; best fitness = 1.08839020474
Processing generation 68000; best fitness = 1.08926900626
Processing generation 69000; best fitness = 1.09025035099
Processing generation 70000; best fitness = 1.09124623487
Processing generation 71000; best fitness = 1.09281197266
Processing generation 72000; best fitness = 1.09315805019
Processing generation 73000; best fitness = 1.09346585218
Processing generation 74000; best fitness = 1.09424354824
Processing generation 75000; best fitness = 1.09649859839
Processing generation 76000; best fitness = 1.09729140965
Processing generation 77000; best fitness = 1.09888320976
Processing generation 78000; best fitness = 1.09971896091
Processing generation 79000; best fitness = 1.10080780597
Processing generation 80000; best fitness = 1.10118629242
Processing generation 81000; best fitness = 1.10190300775
Processing generation 82000; best fitness = 1.10284409402
Processing generation 83000; best fitness = 1.10402425197
Processing generation 84000; best fitness = 1.10430992999
Processing generation 85000; best fitness = 1.10630188202
Processing generation 86000; best fitness = 1.10688338797
Processing generation 87000; best fitness = 1.10764129424
Processing generation 88000; best fitness = 1.10795379122
Processing generation 89000; best fitness = 1.10863246994
Processing generation 90000; best fitness = 1.1100724914
Processing generation 91000; best fitness = 1.11128019015
Processing generation 92000; best fitness = 1.11211546051
Processing generation 93000; best fitness = 1.11268896175
Processing generation 94000; best fitness = 1.11368974962
Processing generation 95000; best fitness = 1.11417902707
Processing generation 96000; best fitness = 1.11604908855
Processing generation 97000; best fitness = 1.11861757354
Processing generation 98000; best fitness = 1.1187529266
Processing generation 99000; best fitness = 1.11945782776
Processing generation 100000; best fitness = 1.1198438993
Processing generation 101000; best fitness = 1.12035024799
Processing generation 102000; best fitness = 1.12081768854
Processing generation 103000; best fitness = 1.1234331944
Processing generation 104000; best fitness = 1.12432916314
Processing generation 105000; best fitness = 1.12516880389
Processing generation 106000; best fitness = 1.12574179175
Processing generation 107000; best fitness = 1.12589996297
Processing generation 108000; best fitness = 1.12620183817
Processing generation 109000; best fitness = 1.12708461678
Processing generation 110000; best fitness = 1.12875540619
Processing generation 111000; best fitness = 1.12909599007
Processing generation 112000; best fitness = 1.12945467279
Processing generation 113000; best fitness = 1.12998811208
Processing generation 114000; best fitness = 1.13037206877
Processing generation 115000; best fitness = 1.13106144825
Processing generation 116000; best fitness = 1.13217735145
Processing generation 117000; best fitness = 1.13285703769
Processing generation 118000; best fitness = 1.13308444525
Processing generation 119000; best fitness = 1.13351548476
Processing generation 120000; best fitness = 1.13376807987
Processing generation 121000; best fitness = 1.13523806497
Processing generation 122000; best fitness = 1.13550016392
Processing generation 123000; best fitness = 1.13619489994
Processing generation 124000; best fitness = 1.13644015007
Processing generation 125000; best fitness = 1.13709316843
Processing generation 126000; best fitness = 1.13792391043
Processing generation 127000; best fitness = 1.13795987213
Processing generation 128000; best fitness = 1.13801978582
Processing generation 129000; best fitness = 1.13849556008
Processing generation 130000; best fitness = 1.13869973704
Processing generation 131000; best fitness = 1.13876385317
Processing generation 132000; best fitness = 1.13917069646
Processing generation 133000; best fitness = 1.13938842269
Processing generation 134000; best fitness = 1.14126311775
Processing generation 135000; best fitness = 1.14197343365
Processing generation 136000; best fitness = 1.14226749301
Processing generation 137000; best fitness = 1.14271359933
Processing generation 138000; best fitness = 1.14308268646
Processing generation 139000; best fitness = 1.14331619469
Processing generation 140000; best fitness = 1.14437480699
Processing generation 141000; best fitness = 1.14481081237
Processing generation 142000; best fitness = 1.14520577514
Processing generation 143000; best fitness = 1.14536534874
Processing generation 144000; best fitness = 1.14568645828
Processing generation 145000; best fitness = 1.14620595655
Processing generation 146000; best fitness = 1.14642033635
Processing generation 147000; best fitness = 1.14664101672
Processing generation 148000; best fitness = 1.14673733887
Processing generation 149000; best fitness = 1.14684392752
Processing generation 150000; best fitness = 1.14697775654
Processing generation 151000; best fitness = 1.14730368005
Processing generation 152000; best fitness = 1.14745674849
Processing generation 153000; best fitness = 1.14758360735
Processing generation 154000; best fitness = 1.14796863456
Processing generation 155000; best fitness = 1.1487392025
Processing generation 156000; best fitness = 1.148817828
Processing generation 157000; best fitness = 1.14943995375
Processing generation 158000; best fitness = 1.14961729571
Processing generation 159000; best fitness = 1.14969828025
Processing generation 160000; best fitness = 1.14992704179
Processing generation 161000; best fitness = 1.15002848495
Processing generation 162000; best fitness = 1.15039626428
Processing generation 163000; best fitness = 1.15058622678
Processing generation 164000; best fitness = 1.15094583682
Processing generation 165000; best fitness = 1.15098259731
Processing generation 166000; best fitness = 1.15107998784
Processing generation 167000; best fitness = 1.15117457063
Processing generation 168000; best fitness = 1.15122845149
Processing generation 169000; best fitness = 1.15152305763
Processing generation 170000; best fitness = 1.15163353491
Processing generation 171000; best fitness = 1.15222412817
Processing generation 172000; best fitness = 1.15282952798
Processing generation 173000; best fitness = 1.15314574754
Processing generation 174000; best fitness = 1.15315644823
Processing generation 175000; best fitness = 1.15322776152
Processing generation 176000; best fitness = 1.15329884195
Processing generation 177000; best fitness = 1.15346372167
Processing generation 178000; best fitness = 1.15387317672
Processing generation 179000; best fitness = 1.15445455062
Processing generation 180000; best fitness = 1.1545135506
Processing generation 181000; best fitness = 1.15501050166
Processing generation 182000; best fitness = 1.15506309931
Processing generation 183000; best fitness = 1.15535789328
Processing generation 184000; best fitness = 1.15550553658
Processing generation 185000; best fitness = 1.15554384667
Processing generation 186000; best fitness = 1.15560748775
Processing generation 187000; best fitness = 1.15565884466
Processing generation 188000; best fitness = 1.15571742227
Processing generation 189000; best fitness = 1.15581221026
Processing generation 190000; best fitness = 1.15627457985
Processing generation 191000; best fitness = 1.15630954375
Processing generation 192000; best fitness = 1.15636214266
Processing generation 193000; best fitness = 1.15637263071
Processing generation 194000; best fitness = 1.1564270653
Processing generation 195000; best fitness = 1.15664597171
Processing generation 196000; best fitness = 1.1566991132
Processing generation 197000; best fitness = 1.15846511759
Processing generation 198000; best fitness = 1.15855182838
Processing generation 199000; best fitness = 1.15879137602
Processing generation 200000; best fitness = 1.15939377981
Processing generation 201000; best fitness = 1.15939885334
Processing generation 202000; best fitness = 1.15982449913
Processing generation 203000; best fitness = 1.15996513035
Processing generation 204000; best fitness = 1.1600061298
Processing generation 205000; best fitness = 1.16022713816
Processing generation 206000; best fitness = 1.16029104405
Processing generation 207000; best fitness = 1.16033247756
Processing generation 208000; best fitness = 1.16051501057
Processing generation 209000; best fitness = 1.16080421874
Processing generation 210000; best fitness = 1.16080421874
Processing generation 211000; best fitness = 1.16115164056
Processing generation 212000; best fitness = 1.16115623646
Processing generation 213000; best fitness = 1.1612247691
Processing generation 214000; best fitness = 1.16175782217
Processing generation 215000; best fitness = 1.16178091456
Processing generation 216000; best fitness = 1.1622230174
Processing generation 217000; best fitness = 1.16248120036
Processing generation 218000; best fitness = 1.16290347004
Processing generation 219000; best fitness = 1.16290347004
Processing generation 220000; best fitness = 1.16298454114
Processing generation 221000; best fitness = 1.16319080681
Processing generation 222000; best fitness = 1.1632210946
Processing generation 223000; best fitness = 1.16325296071
Processing generation 224000; best fitness = 1.16327584909
Processing generation 225000; best fitness = 1.16367655798
Processing generation 226000; best fitness = 1.16370178597
Processing generation 227000; best fitness = 1.1637641306
Processing generation 228000; best fitness = 1.16386557337
Processing generation 229000; best fitness = 1.16389517765
Processing generation 230000; best fitness = 1.16389517765
Processing generation 231000; best fitness = 1.16399472264
Processing generation 232000; best fitness = 1.16412597479
Processing generation 233000; best fitness = 1.16425479946
Processing generation 234000; best fitness = 1.16445770024
Processing generation 235000; best fitness = 1.16478015596
Processing generation 236000; best fitness = 1.16482636465
Processing generation 237000; best fitness = 1.16486735298
Processing generation 238000; best fitness = 1.16491938264
Processing generation 239000; best fitness = 1.16516989405
Processing generation 240000; best fitness = 1.16529238074
Processing generation 241000; best fitness = 1.16550091694
Processing generation 242000; best fitness = 1.16586974918
Processing generation 243000; best fitness = 1.16593575674
Processing generation 244000; best fitness = 1.16593581275
Processing generation 245000; best fitness = 1.16602775256
Processing generation 246000; best fitness = 1.166148908
Processing generation 247000; best fitness = 1.1662232832
Processing generation 248000; best fitness = 1.16625857035
Processing generation 249000; best fitness = 1.16641526766
Processing generation 250000; best fitness = 1.16650931444
Processing generation 251000; best fitness = 1.16654897679
Processing generation 252000; best fitness = 1.16668265294
Processing generation 253000; best fitness = 1.1669067979
Processing generation 254000; best fitness = 1.16704190882
Processing generation 255000; best fitness = 1.16747073587
Processing generation 256000; best fitness = 1.16771596758
Processing generation 257000; best fitness = 1.1678327489
Processing generation 258000; best fitness = 1.16787876919
Processing generation 259000; best fitness = 1.16794633727
Processing generation 260000; best fitness = 1.16795434669
Processing generation 261000; best fitness = 1.16841089959
Processing generation 262000; best fitness = 1.16860802
Processing generation 263000; best fitness = 1.16865477623
Processing generation 264000; best fitness = 1.16869662703
Processing generation 265000; best fitness = 1.1688409675
Processing generation 266000; best fitness = 1.16888391392
Processing generation 267000; best fitness = 1.16915875544
Processing generation 268000; best fitness = 1.16941258806
Processing generation 269000; best fitness = 1.16941982869
Processing generation 270000; best fitness = 1.16948792572
Processing generation 271000; best fitness = 1.16949735478
Processing generation 272000; best fitness = 1.16956416428
Processing generation 273000; best fitness = 1.17011674398
Processing generation 274000; best fitness = 1.17036262525
Processing generation 275000; best fitness = 1.17057484993
Processing generation 276000; best fitness = 1.17064405584
Processing generation 277000; best fitness = 1.17078424861
Processing generation 278000; best fitness = 1.17087364243
Processing generation 279000; best fitness = 1.17087446385
Processing generation 280000; best fitness = 1.17093333319
Processing generation 281000; best fitness = 1.17099606078
Processing generation 282000; best fitness = 1.17163068905
