Processing generation 0; best fitness = 0.294896129929
Processing generation 1000; best fitness = 0.585920671389
Processing generation 2000; best fitness = 0.660719632419
Processing generation 3000; best fitness = 0.707352022363
Processing generation 4000; best fitness = 0.744559175955
Processing generation 5000; best fitness = 0.780128471423
Processing generation 6000; best fitness = 0.802077789646
Processing generation 7000; best fitness = 0.825853841749
Processing generation 8000; best fitness = 0.850770632317
Processing generation 9000; best fitness = 0.863262900144
Processing generation 10000; best fitness = 0.876222866087
Processing generation 11000; best fitness = 0.885205684662
Processing generation 12000; best fitness = 0.89766250637
Processing generation 13000; best fitness = 0.911688207961
Processing generation 14000; best fitness = 0.923229228129
Processing generation 15000; best fitness = 0.93965161993
Processing generation 16000; best fitness = 0.945375187356
Processing generation 17000; best fitness = 0.958750801415
Processing generation 18000; best fitness = 0.962871407447
Processing generation 19000; best fitness = 0.970011375523
Processing generation 20000; best fitness = 0.976426494297
Processing generation 21000; best fitness = 0.980131910316
Processing generation 22000; best fitness = 0.982608533063
Processing generation 23000; best fitness = 0.98797302368
Processing generation 24000; best fitness = 0.993081089356
Processing generation 25000; best fitness = 0.999466654862
Processing generation 26000; best fitness = 1.00243970856
Processing generation 27000; best fitness = 1.00665107162
Processing generation 28000; best fitness = 1.01077970839
Processing generation 29000; best fitness = 1.01406107528
Processing generation 30000; best fitness = 1.0187505584
Processing generation 31000; best fitness = 1.02279948119
Processing generation 32000; best fitness = 1.02941077849
Processing generation 33000; best fitness = 1.03213954173
Processing generation 34000; best fitness = 1.03600522544
Processing generation 35000; best fitness = 1.04250072258
Processing generation 36000; best fitness = 1.04412989317
Processing generation 37000; best fitness = 1.04676594895
Processing generation 38000; best fitness = 1.0488882377
Processing generation 39000; best fitness = 1.05022942333
Processing generation 40000; best fitness = 1.05280635311
Processing generation 41000; best fitness = 1.054787109
Processing generation 42000; best fitness = 1.05707109862
Processing generation 43000; best fitness = 1.05836475746
Processing generation 44000; best fitness = 1.06026326887
Processing generation 45000; best fitness = 1.06233775867
Processing generation 46000; best fitness = 1.06444106144
Processing generation 47000; best fitness = 1.06569433433
Processing generation 48000; best fitness = 1.06774938866
Processing generation 49000; best fitness = 1.06958480182
Processing generation 50000; best fitness = 1.0730380587
Processing generation 51000; best fitness = 1.07436609867
Processing generation 52000; best fitness = 1.0772363381
Processing generation 53000; best fitness = 1.07830457316
Processing generation 54000; best fitness = 1.07918716388
Processing generation 55000; best fitness = 1.08053255792
Processing generation 56000; best fitness = 1.08138737346
