
Processing generation 1000; best fitness = 0.502278555655
Processing generation 2000; best fitness = 0.561841541895
Processing generation 3000; best fitness = 0.623680041125
Processing generation 4000; best fitness = 0.635589714558
Processing generation 5000; best fitness = 0.670201755821
Processing generation 6000; best fitness = 0.706056614345
Processing generation 7000; best fitness = 0.719247514961
Processing generation 8000; best fitness = 0.723617003203
Processing generation 9000; best fitness = 0.729383262331
Processing generation 10000; best fitness = 0.731287416241
Processing generation 11000; best fitness = 0.732713646415
Processing generation 12000; best fitness = 0.737885426908
Processing generation 13000; best fitness = 0.739273092744
Processing generation 14000; best fitness = 0.739906768767
Processing generation 15000; best fitness = 0.740305222252
Processing generation 16000; best fitness = 0.741038571023
Processing generation 17000; best fitness = 0.743193592784
Processing generation 18000; best fitness = 0.74867150028
Processing generation 19000; best fitness = 0.751703378829
Processing generation 20000; best fitness = 0.753596809871
Processing generation 21000; best fitness = 0.754334324314
Processing generation 22000; best fitness = 0.75662804152
Processing generation 23000; best fitness = 0.75837525412
Processing generation 24000; best fitness = 0.759704941895
Processing generation 25000; best fitness = 0.760292373707
Processing generation 26000; best fitness = 0.7705987838
Processing generation 27000; best fitness = 0.774554585116
Processing generation 28000; best fitness = 0.776897405859
Processing generation 29000; best fitness = 0.77868531384
Processing generation 30000; best fitness = 0.780041713926
Processing generation 31000; best fitness = 0.780720314519
Processing generation 32000; best fitness = 0.780773355561
Processing generation 33000; best fitness = 0.780783385436
Processing generation 34000; best fitness = 0.781623168196
Processing generation 35000; best fitness = 0.781969601521
Processing generation 36000; best fitness = 0.782124206847
Processing generation 37000; best fitness = 0.782287606555
Processing generation 38000; best fitness = 0.782524036082
Processing generation 39000; best fitness = 0.783466329649
Processing generation 40000; best fitness = 0.784963115398
Processing generation 41000; best fitness = 0.786363320802
Processing generation 42000; best fitness = 0.786426638859
Processing generation 43000; best fitness = 0.787711306881
Processing generation 44000; best fitness = 0.78814900131
Processing generation 45000; best fitness = 0.788263427548
Processing generation 46000; best fitness = 0.789467178953
Processing generation 47000; best fitness = 0.790661152723
Processing generation 48000; best fitness = 0.790943030574
Processing generation 49000; best fitness = 0.791052736602
Processing generation 50000; best fitness = 0.791343853949
Processing generation 51000; best fitness = 0.793185994223
Processing generation 52000; best fitness = 0.794728806588
Processing generation 53000; best fitness = 0.795664190436
Processing generation 54000; best fitness = 0.795769232837
Processing generation 55000; best fitness = 0.795956228325
Processing generation 56000; best fitness = 0.796414437615
Processing generation 57000; best fitness = 0.796887011026
Processing generation 58000; best fitness = 0.796901165393
Processing generation 59000; best fitness = 0.79716827473
Processing generation 60000; best fitness = 0.797770738144
Processing generation 61000; best fitness = 0.797773024932
Processing generation 62000; best fitness = 0.797851192705
Processing generation 63000; best fitness = 0.804501173544
Processing generation 64000; best fitness = 0.81180368041
Processing generation 65000; best fitness = 0.812517299974
Processing generation 66000; best fitness = 0.814074228572
Processing generation 67000; best fitness = 0.818803985166
Processing generation 68000; best fitness = 0.81891732874
Processing generation 69000; best fitness = 0.819027396194
Processing generation 70000; best fitness = 0.820267052891
Processing generation 71000; best fitness = 0.820536718448
Processing generation 72000; best fitness = 0.82054910724
Processing generation 73000; best fitness = 0.821280288828
Processing generation 74000; best fitness = 0.822442527437
Processing generation 75000; best fitness = 0.822583720121
Processing generation 76000; best fitness = 0.823599414027
Processing generation 77000; best fitness = 0.823743762483
Processing generation 78000; best fitness = 0.824319794863
Processing generation 79000; best fitness = 0.824764764888
Processing generation 80000; best fitness = 0.826970489662
Processing generation 81000; best fitness = 0.827001393508
Processing generation 82000; best fitness = 0.827075746528
Processing generation 83000; best fitness = 0.827699009667
Processing generation 84000; best fitness = 0.82786986415
Processing generation 85000; best fitness = 0.828029682971
Processing generation 86000; best fitness = 0.828222521882
Processing generation 87000; best fitness = 0.835329850479
Processing generation 88000; best fitness = 0.836149784913
Processing generation 89000; best fitness = 0.836987302234
Processing generation 90000; best fitness = 0.840563376969
Processing generation 91000; best fitness = 0.840636837689
Processing generation 92000; best fitness = 0.842220741262
Processing generation 93000; best fitness = 0.846101400608
Processing generation 94000; best fitness = 0.846750302467
Processing generation 95000; best fitness = 0.846905872806
Processing generation 96000; best fitness = 0.852491821475
Processing generation 97000; best fitness = 0.854436961006
Processing generation 98000; best fitness = 0.854436961006
Processing generation 99000; best fitness = 0.857879266228
Processing generation 100000; best fitness = 0.860675990971
Processing generation 101000; best fitness = 0.86426025779
Processing generation 102000; best fitness = 0.865992819755
Processing generation 103000; best fitness = 0.866488703276
Processing generation 104000; best fitness = 0.866787581249
Processing generation 105000; best fitness = 0.868001856176
Processing generation 106000; best fitness = 0.868028214111
Processing generation 107000; best fitness = 0.868421430077
Processing generation 108000; best fitness = 0.868860746691
Processing generation 109000; best fitness = 0.868862810436
Processing generation 110000; best fitness = 0.868865758732
Processing generation 111000; best fitness = 0.868865758732
Processing generation 112000; best fitness = 0.868870139619
Processing generation 113000; best fitness = 0.868870139619
Processing generation 114000; best fitness = 0.868870139619
Processing generation 115000; best fitness = 0.869182981137
Processing generation 116000; best fitness = 0.869205514079
Processing generation 117000; best fitness = 0.869221506827
Processing generation 118000; best fitness = 0.87020038156
Processing generation 119000; best fitness = 0.870223733027
Processing generation 120000; best fitness = 0.870245535891
Processing generation 121000; best fitness = 0.870768887779
Processing generation 122000; best fitness = 0.870768887779
Processing generation 123000; best fitness = 0.871033103293
Processing generation 124000; best fitness = 0.871469170847
Processing generation 125000; best fitness = 0.871504579014
Processing generation 126000; best fitness = 0.87161077712
Processing generation 127000; best fitness = 0.871685681809
Processing generation 128000; best fitness = 0.87182340586
Processing generation 129000; best fitness = 0.871826817497
Processing generation 130000; best fitness = 0.8720283696
Processing generation 131000; best fitness = 0.8720283696
Processing generation 132000; best fitness = 0.873571054904
Processing generation 133000; best fitness = 0.873571054904
Processing generation 134000; best fitness = 0.873701147178
Processing generation 135000; best fitness = 0.874114587204
Processing generation 136000; best fitness = 0.874114587204
Processing generation 137000; best fitness = 0.874706092311
Processing generation 138000; best fitness = 0.874916799661
Processing generation 139000; best fitness = 0.874920540978
Processing generation 140000; best fitness = 0.874920540978
Processing generation 141000; best fitness = 0.874920540978
Processing generation 142000; best fitness = 0.876405787295
Processing generation 143000; best fitness = 0.876484804772
Processing generation 144000; best fitness = 0.876534386275
Processing generation 145000; best fitness = 0.876686898377
Processing generation 146000; best fitness = 0.876704301677
Processing generation 147000; best fitness = 0.877975198431
Processing generation 148000; best fitness = 0.878112473908
Processing generation 149000; best fitness = 0.878841776036
Processing generation 150000; best fitness = 0.87916341056
Processing generation 151000; best fitness = 0.87916341056
Processing generation 152000; best fitness = 0.879404232798
Processing generation 153000; best fitness = 0.879404232798
Processing generation 154000; best fitness = 0.87941215168
Processing generation 155000; best fitness = 0.879516293866
Processing generation 156000; best fitness = 0.879699046519
Processing generation 157000; best fitness = 0.881015516406
Processing generation 158000; best fitness = 0.881289367375
Processing generation 159000; best fitness = 0.882946427988
Processing generation 160000; best fitness = 0.883488767135
Processing generation 161000; best fitness = 0.883691499874
Processing generation 162000; best fitness = 0.883927171729
Processing generation 163000; best fitness = 0.883927171729
Processing generation 164000; best fitness = 0.90407666276
Processing generation 165000; best fitness = 0.904231256671
Processing generation 166000; best fitness = 0.904306229493
Processing generation 167000; best fitness = 0.904332304487
Processing generation 168000; best fitness = 0.904386618681
Processing generation 169000; best fitness = 0.904397770181
Processing generation 170000; best fitness = 0.904520476386
Processing generation 171000; best fitness = 0.904626129777
Processing generation 172000; best fitness = 0.904638058835
Processing generation 173000; best fitness = 0.904791158542
Processing generation 174000; best fitness = 0.904791158542
Processing generation 175000; best fitness = 0.904913478614
Processing generation 176000; best fitness = 0.905710306417
Processing generation 177000; best fitness = 0.90698366026
Processing generation 178000; best fitness = 0.90705892352
Processing generation 179000; best fitness = 0.907202761892
Processing generation 180000; best fitness = 0.907250022479
Processing generation 181000; best fitness = 0.907435992373
Processing generation 182000; best fitness = 0.907435992373
Processing generation 183000; best fitness = 0.907435992373
Processing generation 184000; best fitness = 0.907478808282
Processing generation 185000; best fitness = 0.907485562332
Processing generation 186000; best fitness = 0.907485562332
Processing generation 187000; best fitness = 0.907485562332
Processing generation 188000; best fitness = 0.908592978663
Processing generation 189000; best fitness = 0.90904756192
Processing generation 190000; best fitness = 0.909048058397
Processing generation 191000; best fitness = 0.909048058397
Processing generation 192000; best fitness = 0.909215052397
Processing generation 193000; best fitness = 0.909254346814
Processing generation 194000; best fitness = 0.909278152029
Processing generation 195000; best fitness = 0.909299162477
Processing generation 196000; best fitness = 0.909338926969
Processing generation 197000; best fitness = 0.909338926969
Processing generation 198000; best fitness = 0.909338926969
Processing generation 199000; best fitness = 0.909338926969
Processing generation 200000; best fitness = 0.909993310517
Processing generation 201000; best fitness = 0.910354698601
Processing generation 202000; best fitness = 0.910498532363
Processing generation 203000; best fitness = 0.914032400351
Processing generation 204000; best fitness = 0.91405139909
Processing generation 205000; best fitness = 0.914207158963
Processing generation 206000; best fitness = 0.914207158963
Processing generation 207000; best fitness = 0.914207158963
Processing generation 208000; best fitness = 0.914207158963
Processing generation 209000; best fitness = 0.914207158963
Processing generation 210000; best fitness = 0.914207158963
Processing generation 211000; best fitness = 0.914341908227
Processing generation 212000; best fitness = 0.914341908227
Processing generation 213000; best fitness = 0.914341908227
Processing generation 214000; best fitness = 0.914361007034
Processing generation 215000; best fitness = 0.914361007034
Processing generation 216000; best fitness = 0.914361007034
Processing generation 217000; best fitness = 0.914893486134
Processing generation 218000; best fitness = 0.915439783597
Processing generation 219000; best fitness = 0.915439783597
Processing generation 220000; best fitness = 0.915439783597
Processing generation 221000; best fitness = 0.91549075397
Processing generation 222000; best fitness = 0.91549075397
Processing generation 223000; best fitness = 0.91549075397
Processing generation 224000; best fitness = 0.91549075397
Processing generation 225000; best fitness = 0.91549075397
Processing generation 226000; best fitness = 0.91581711306
Processing generation 227000; best fitness = 0.91581711306
Processing generation 228000; best fitness = 0.915862321118
Processing generation 229000; best fitness = 0.915862321118
Processing generation 230000; best fitness = 0.915862321118
Processing generation 231000; best fitness = 0.915862321118
Processing generation 232000; best fitness = 0.915862321118
Processing generation 233000; best fitness = 0.915862321118
Processing generation 234000; best fitness = 0.915862321118
Processing generation 235000; best fitness = 0.915862321118
Processing generation 236000; best fitness = 0.915862321118
Processing generation 237000; best fitness = 0.915862321118
Processing generation 238000; best fitness = 0.915862321118
Processing generation 239000; best fitness = 0.915862321118
Processing generation 240000; best fitness = 0.916228602106
Processing generation 241000; best fitness = 0.916228602106
Processing generation 242000; best fitness = 0.916569305301
Processing generation 243000; best fitness = 0.916569305301
Processing generation 244000; best fitness = 0.916569305301
Processing generation 245000; best fitness = 0.916657898761
Processing generation 246000; best fitness = 0.916657898761
Processing generation 247000; best fitness = 0.916667605831
Processing generation 248000; best fitness = 0.91666971479
Processing generation 249000; best fitness = 0.91666971479
Processing generation 250000; best fitness = 0.91690358484
Processing generation 251000; best fitness = 0.91691485141
Processing generation 252000; best fitness = 0.91691485141
Processing generation 253000; best fitness = 0.917438522904
Processing generation 254000; best fitness = 0.917438522904
Processing generation 255000; best fitness = 0.917438522904
Processing generation 256000; best fitness = 0.917868653862
Processing generation 257000; best fitness = 0.917868653862
Processing generation 258000; best fitness = 0.917868653862
Processing generation 259000; best fitness = 0.917868653862
Processing generation 260000; best fitness = 0.917868653862
Processing generation 261000; best fitness = 0.917868653862
Processing generation 262000; best fitness = 0.917868653862
Processing generation 263000; best fitness = 0.917929646761
Processing generation 264000; best fitness = 0.918800368372
Processing generation 265000; best fitness = 0.918800368372
Processing generation 266000; best fitness = 0.918809062757
Processing generation 267000; best fitness = 0.918809062757
Processing generation 268000; best fitness = 0.918809062757
Processing generation 269000; best fitness = 0.918809062757
Processing generation 270000; best fitness = 0.918819176287
Processing generation 271000; best fitness = 0.918911635445
Processing generation 272000; best fitness = 0.918911635445
Processing generation 273000; best fitness = 0.919091635145
Processing generation 274000; best fitness = 0.919091635145
Processing generation 275000; best fitness = 0.919091635145
Processing generation 276000; best fitness = 0.919368605023
Processing generation 277000; best fitness = 0.919368605023
Processing generation 278000; best fitness = 0.919368817252
Processing generation 279000; best fitness = 0.919368817252
Processing generation 280000; best fitness = 0.919473747188
Processing generation 281000; best fitness = 0.919694736369
Processing generation 282000; best fitness = 0.919694736369
Processing generation 283000; best fitness = 0.919694736369
Processing generation 284000; best fitness = 0.919694736369
Processing generation 285000; best fitness = 0.919694736369
Processing generation 286000; best fitness = 0.919694736369
Processing generation 287000; best fitness = 0.920411441259
Processing generation 288000; best fitness = 0.920918460897
Processing generation 289000; best fitness = 0.920918460897
Processing generation 290000; best fitness = 0.920918460897
Processing generation 291000; best fitness = 0.920918460897
Processing generation 292000; best fitness = 0.920954266549
Processing generation 293000; best fitness = 0.920954266549
Processing generation 294000; best fitness = 0.920954266549
Processing generation 295000; best fitness = 0.920954266549
Processing generation 296000; best fitness = 0.921001338622
Processing generation 297000; best fitness = 0.921001338622
Processing generation 298000; best fitness = 0.921001338622
Processing generation 299000; best fitness = 0.921001338622
Processing generation 300000; best fitness = 0.921001338622
Processing generation 301000; best fitness = 0.921001338622
Processing generation 302000; best fitness = 0.921001338622
Processing generation 303000; best fitness = 0.921001338622
Processing generation 304000; best fitness = 0.921001338622
Processing generation 305000; best fitness = 0.921001338622
Processing generation 306000; best fitness = 0.921004109191
Processing generation 307000; best fitness = 0.921801798508
Processing generation 308000; best fitness = 0.921801798508
Processing generation 309000; best fitness = 0.921829272255
Processing generation 310000; best fitness = 0.921832669437
Processing generation 311000; best fitness = 0.921832669437
Processing generation 312000; best fitness = 0.921832669437
Processing generation 313000; best fitness = 0.921832669437
Processing generation 314000; best fitness = 0.921832669437
Processing generation 315000; best fitness = 0.921832669437
Processing generation 316000; best fitness = 0.921832669437
Processing generation 317000; best fitness = 0.921832669437
Processing generation 318000; best fitness = 0.921832669437
Processing generation 319000; best fitness = 0.92183385783
Processing generation 320000; best fitness = 0.921949960301
Processing generation 321000; best fitness = 0.921952831211
Processing generation 322000; best fitness = 0.921952831211
Processing generation 323000; best fitness = 0.921952831211
Processing generation 324000; best fitness = 0.921952831211
Processing generation 325000; best fitness = 0.921952831211
Processing generation 326000; best fitness = 0.921952831211
Processing generation 327000; best fitness = 0.921952831211
Processing generation 328000; best fitness = 0.921996549936
Processing generation 329000; best fitness = 0.921996549936
Processing generation 330000; best fitness = 0.921996549936
