Processing generation 0; best fitness = 0.283141169551
Processing generation 1000; best fitness = 0.731854616473
Processing generation 2000; best fitness = 0.79631341154
Processing generation 3000; best fitness = 0.813281181588
Processing generation 4000; best fitness = 0.825170607126
Processing generation 5000; best fitness = 0.832899675859
Processing generation 6000; best fitness = 0.849836137868
Processing generation 7000; best fitness = 0.855389943199
Processing generation 8000; best fitness = 0.85679782669
Processing generation 9000; best fitness = 0.857824247361
Processing generation 10000; best fitness = 0.859925294305
Processing generation 11000; best fitness = 0.861015654591
Processing generation 12000; best fitness = 0.862712926629
Processing generation 13000; best fitness = 0.864679998857
Processing generation 14000; best fitness = 0.869467913084
Processing generation 15000; best fitness = 0.871571489727
Processing generation 16000; best fitness = 0.876388817829
Processing generation 17000; best fitness = 0.883278290511
Processing generation 18000; best fitness = 0.884725111705
Processing generation 19000; best fitness = 0.888414577221
Processing generation 20000; best fitness = 0.892071869206
Processing generation 21000; best fitness = 0.892108268727
Processing generation 22000; best fitness = 0.89556424065
Processing generation 23000; best fitness = 0.895582606506
Processing generation 24000; best fitness = 0.896129246391
Processing generation 25000; best fitness = 0.897811652023
Processing generation 26000; best fitness = 0.900265013036
Processing generation 27000; best fitness = 0.904044160413
Processing generation 28000; best fitness = 0.909530424595
Processing generation 29000; best fitness = 0.912899341433
Processing generation 30000; best fitness = 0.917341611071
Processing generation 31000; best fitness = 0.925782246691
Processing generation 32000; best fitness = 0.929785558732
Processing generation 33000; best fitness = 0.931928618934
Processing generation 34000; best fitness = 0.934739096373
Processing generation 35000; best fitness = 0.937675332273
Processing generation 36000; best fitness = 0.942294387189
Processing generation 37000; best fitness = 0.948505591685
Processing generation 38000; best fitness = 0.951115362508
Processing generation 39000; best fitness = 0.952845273152
Processing generation 40000; best fitness = 0.95488439262
Processing generation 41000; best fitness = 0.957292116261
Processing generation 42000; best fitness = 0.958844615322
Processing generation 43000; best fitness = 0.96120563406
Processing generation 44000; best fitness = 0.961262621059
Processing generation 45000; best fitness = 0.961912511395
Processing generation 46000; best fitness = 0.961963753147
Processing generation 47000; best fitness = 0.962001958243
Processing generation 48000; best fitness = 0.962095544579
Processing generation 49000; best fitness = 0.962797043686
Processing generation 50000; best fitness = 0.964973283737
Processing generation 51000; best fitness = 0.966144482159
Processing generation 52000; best fitness = 0.966233775126
